epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,136.899546,16.915292,11.998425,0.0,0.0,97.933922,18.364356,7.956957,0.0,0.0,98.032297,18.460199,7.957210,0.0,0.0,0.459587,0.448945,0.460261,0.004687,0.002232,0.006696
2,81.760574,18.323817,6.343676,0.0,0.0,67.507443,18.246355,4.926109,0.0,0.0,67.399862,18.304704,4.909516,0.0,0.0,0.462970,0.478308,0.483904,0.047656,0.206473,0.215402
3,61.126468,18.209944,4.291652,0.0,0.0,54.854856,18.137318,3.671754,0.0,0.0,54.794920,18.251397,3.654352,0.0,0.0,0.489977,0.516611,0.498994,0.478516,0.686384,0.678571
4,49.960428,17.929787,3.203064,0.0,0.0,47.820111,18.629098,2.919101,0.0,0.0,47.814771,18.801260,2.901351,0.0,0.0,0.507881,0.513204,0.499368,0.760938,0.775670,0.782366
5,44.019570,17.740796,2.627877,0.0,0.0,41.898127,17.920907,2.397722,0.0,0.0,41.895501,18.100828,2.379467,0.0,0.0,0.511799,0.520424,0.497850,0.861719,0.814732,0.825893
6,40.439458,17.603934,2.283552,0.0,0.0,39.715678,17.897519,2.181816,0.0,0.0,39.623083,18.092086,2.153100,0.0,0.0,0.515820,0.527726,0.499156,0.876563,0.822545,0.825893
7,37.580137,17.435023,2.014511,0.0,0.0,36.950195,17.495828,1.945437,0.0,0.0,36.901124,17.687232,1.921389,0.0,0.0,0.520647,0.531035,0.503573,0.889062,0.838170,0.838170
8,36.007693,17.302297,1.870540,0.0,0.0,35.142618,17.415530,1.772709,0.0,0.0,35.086137,17.593011,1.749313,0.0,0.0,0.526977,0.539848,0.514949,0.891406,0.860491,0.856027
9,33.916029,17.144030,1.677200,0.0,0.0,33.802001,16.997534,1.680447,0.0,0.0,33.702046,17.158769,1.654328,0.0,0.0,0.530573,0.541263,0.517426,0.901172,0.861607,0.868304
10,32.361700,16.973437,1.538826,0.0,0.0,32.389649,17.068950,1.532070,0.0,0.0,32.334605,17.220837,1.511377,0.0,0.0,0.535784,0.547465,0.522935,0.907031,0.875000,0.873884
11,31.572566,16.854179,1.471839,0.0,0.0,32.330172,17.112830,1.521734,0.0,0.0,32.257924,17.266681,1.499124,0.0,0.0,0.539984,0.548632,0.525882,0.918750,0.850446,0.848214
12,30.664098,16.744528,1.391957,0.0,0.0,30.737659,17.181540,1.355612,0.0,0.0,30.701171,17.339695,1.336148,0.0,0.0,0.543605,0.552198,0.529559,0.923438,0.882812,0.880580
13,29.594166,16.588003,1.300616,0.0,0.0,30.110475,16.928847,1.318163,0.0,0.0,30.062935,17.094589,1.296835,0.0,0.0,0.547617,0.552096,0.530277,0.930859,0.880580,0.868304
14,28.875333,16.480058,1.239528,0.0,0.0,29.479849,16.731549,1.274830,0.0,0.0,29.458597,16.896291,1.256231,0.0,0.0,0.549969,0.556603,0.534023,0.938672,0.898438,0.892857
15,28.139112,16.355694,1.178342,0.0,0.0,28.866981,16.350297,1.251668,0.0,0.0,28.768882,16.520052,1.224883,0.0,0.0,0.551683,0.560163,0.535901,0.940234,0.886161,0.892857
16,27.568317,16.264942,1.130337,0.0,0.0,28.249551,16.243012,1.200654,0.0,0.0,28.165072,16.418890,1.174618,0.0,0.0,0.554099,0.563657,0.538364,0.947656,0.898438,0.893973
17,27.173504,16.158044,1.101546,0.0,0.0,27.955529,16.084406,1.187112,0.0,0.0,27.881455,16.267741,1.161371,0.0,0.0,0.556147,0.566530,0.541249,0.947656,0.908482,0.897321
18,27.040224,16.080628,1.095960,0.0,0.0,27.646787,16.119495,1.152729,0.0,0.0,27.563487,16.303400,1.126009,0.0,0.0,0.558176,0.566637,0.541180,0.951172,0.906250,0.898438
19,26.206043,15.968689,1.023735,0.0,0.0,27.167543,16.246834,1.092071,0.0,0.0,27.152876,16.429259,1.072362,0.0,0.0,0.559471,0.567394,0.541554,0.955469,0.908482,0.904018
20,25.837440,15.896213,0.994123,0.0,0.0,26.912102,16.242738,1.066936,0.0,0.0,26.871913,16.438851,1.043306,0.0,0.0,0.561290,0.570228,0.544964,0.957812,0.908482,0.898438
