epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,138.150629,16.927234,12.010556,0.001118,0.0,99.143601,17.886684,8.125692,0.000000,0.0,99.296793,17.985117,8.131167,0.000000,0.0,0.427668,0.000000,0.000000,0.003906,0.000000,0.000000
2,85.107751,18.213627,6.448708,0.002407,0.0,73.073186,17.770800,5.150242,0.003800,0.0,73.081961,17.825895,5.134952,0.003907,0.0,0.496716,0.509723,0.502633,0.135937,0.508929,0.532366
3,63.937244,18.066336,4.249193,0.003379,0.0,57.131225,18.411978,3.563943,0.003080,0.0,57.165850,18.549298,3.538609,0.003230,0.0,0.569107,0.599326,0.588584,0.896484,0.882812,0.915179
4,53.174702,17.802029,3.246972,0.002903,0.0,49.880564,17.865543,2.916622,0.002849,0.0,49.880566,18.015579,2.890398,0.002961,0.0,0.628386,0.630023,0.621725,0.969531,0.919643,0.933036
5,46.612169,17.539560,2.649850,0.002574,0.0,44.894912,17.334877,2.493521,0.002625,0.0,44.816167,17.478706,2.460880,0.002729,0.0,0.670148,0.660489,0.651060,0.971094,0.925223,0.931920
6,42.763764,17.370669,2.306183,0.002331,0.0,41.853136,17.049591,2.235339,0.002450,0.0,41.823074,17.192513,2.210234,0.002528,0.0,0.701447,0.682327,0.675863,0.977734,0.921875,0.928571
7,39.521172,17.174400,2.025346,0.002093,0.0,39.086996,17.554935,1.920701,0.002325,0.0,39.071148,17.688467,1.900175,0.002381,0.0,0.732081,0.698538,0.694791,0.979297,0.933036,0.934152
8,37.638595,17.004346,1.870421,0.001930,0.0,38.157624,17.569483,1.835520,0.002233,0.0,38.187661,17.683822,1.820922,0.002295,0.0,0.752570,0.711547,0.707094,0.980859,0.930804,0.933036
9,35.629308,16.877889,1.695660,0.001795,0.0,36.135847,16.640695,1.735144,0.002144,0.0,36.012923,16.754302,1.709662,0.002162,0.0,0.770178,0.723584,0.722805,0.982812,0.935268,0.936384
10,34.703577,16.730558,1.629029,0.001683,0.0,34.980588,16.641870,1.629331,0.002045,0.0,34.892211,16.750797,1.608329,0.002058,0.0,0.784252,0.734930,0.735914,0.983594,0.937500,0.937500
11,33.164834,16.610130,1.500691,0.001548,0.0,34.019506,16.512815,1.551363,0.001993,0.0,33.949791,16.615660,1.531830,0.002016,0.0,0.801547,0.742382,0.742558,0.983203,0.936384,0.936384
12,32.128964,16.509200,1.416528,0.001454,0.0,33.173327,16.801482,1.444648,0.001925,0.0,33.118257,16.899762,1.429511,0.001923,0.0,0.813755,0.751849,0.752959,0.983594,0.936384,0.936384
13,31.309518,16.366125,1.357542,0.001368,0.0,32.645460,16.479153,1.429964,0.001867,0.0,32.516709,16.584433,1.406653,0.001866,0.0,0.824854,0.758518,0.760688,0.983984,0.937500,0.937500
14,30.432332,16.255744,1.289153,0.001285,0.0,31.883445,16.788744,1.324610,0.001849,0.0,31.836822,16.899241,1.310444,0.001833,0.0,0.835240,0.762070,0.765113,0.983984,0.937500,0.936384
15,30.260287,16.164172,1.285834,0.001238,0.0,31.162645,16.310924,1.307481,0.001777,0.0,31.069337,16.410413,1.290164,0.001757,0.0,0.841290,0.770905,0.773971,0.984375,0.937500,0.937500
16,29.251375,16.072747,1.202396,0.001155,0.0,30.700160,16.238863,1.268605,0.001775,0.0,30.563245,16.334978,1.247448,0.001754,0.0,0.852187,0.771515,0.774359,0.984375,0.937500,0.937500
17,28.531570,15.953905,1.148053,0.001097,0.0,30.152135,15.946020,1.247465,0.001731,0.0,29.964603,16.047702,1.221657,0.001700,0.0,0.859564,0.776733,0.782320,0.984375,0.937500,0.937500
18,28.316315,15.879168,1.138895,0.001048,0.0,30.545778,16.560057,1.222393,0.001762,0.0,30.479042,16.663864,1.209146,0.001724,0.0,0.865952,0.774293,0.779027,0.984375,0.937500,0.937500
19,27.742678,15.782616,1.095683,0.001003,0.0,29.314146,16.051980,1.156465,0.001698,0.0,29.171954,16.154322,1.135551,0.001662,0.0,0.871493,0.781829,0.786371,0.984375,0.937500,0.937500
20,27.145284,15.716065,1.047742,0.000952,0.0,29.009580,15.781390,1.156782,0.001660,0.0,28.864082,15.879026,1.137374,0.001611,0.0,0.878229,0.787139,0.792547,0.984375,0.937500,0.937500
