epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,134.386983,16.331245,11.787841,0.000177,0.0,95.814056,16.840487,7.897357,0.000000,0.0,95.541396,16.980477,7.856092,0.000000,0.0,0.543976,0.000000,0.000000,0.001172,0.000000,0.000000
2,83.227643,17.465214,6.576243,0.000000,0.0,73.365426,17.733786,5.563164,0.000000,0.0,73.186684,18.037589,5.514910,0.000000,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,68.742099,17.472293,4.976376,0.001506,0.0,65.873119,16.953590,4.543068,0.003489,0.0,65.218227,17.197643,4.469324,0.003327,0.0,0.528421,0.524049,0.535371,0.037891,0.328125,0.272321
4,60.819236,17.298673,4.060078,0.002920,0.0,58.683007,18.246202,3.780634,0.002630,0.0,58.848564,18.491053,3.754185,0.002816,0.0,0.633509,0.658309,0.642164,0.791797,0.920759,0.907366
5,53.950539,17.012700,3.475963,0.002178,0.0,54.721351,18.146380,3.421884,0.002356,0.0,54.735259,18.373354,3.395541,0.002406,0.0,0.720976,0.693297,0.690584,0.926562,0.931920,0.933036
6,48.993313,16.848567,3.039870,0.001746,0.0,48.384582,16.687651,2.962356,0.002073,0.0,48.077481,16.902747,2.905008,0.002125,0.0,0.776178,0.733553,0.725518,0.957812,0.929688,0.931920
7,45.359362,16.624894,2.728454,0.001450,0.0,45.685642,16.652827,2.706092,0.001972,0.0,45.398437,16.855855,2.658199,0.001961,0.0,0.814189,0.748701,0.746628,0.974219,0.937500,0.936384
8,42.895876,16.458507,2.516430,0.001273,0.0,43.624366,16.744850,2.496333,0.001916,0.0,43.511212,16.961207,2.469533,0.001855,0.0,0.837023,0.757969,0.759814,0.977344,0.937500,0.937500
9,40.510018,16.339498,2.304946,0.001121,0.0,41.757828,17.052984,2.289965,0.001805,0.0,41.705302,17.276939,2.264041,0.001788,0.0,0.856402,0.771442,0.769240,0.979297,0.937500,0.936384
10,38.530561,16.275438,2.125465,0.001000,0.0,39.453663,16.463906,2.127132,0.001718,0.0,39.326737,16.706174,2.086765,0.001753,0.0,0.871788,0.781860,0.774046,0.981250,0.937500,0.936384
11,36.881132,16.169832,1.981059,0.000901,0.0,38.588799,16.224188,2.072298,0.001642,0.0,38.332633,16.454047,2.020443,0.001674,0.0,0.884649,0.789251,0.783040,0.981250,0.937500,0.937500
12,35.903356,16.056253,1.901833,0.000829,0.0,36.901264,16.372523,1.890644,0.001622,0.0,36.760699,16.590874,1.853080,0.001639,0.0,0.893700,0.794915,0.788070,0.982812,0.937500,0.936384
13,34.528703,15.986193,1.777812,0.000764,0.0,36.355330,16.417599,1.833254,0.001605,0.0,36.160552,16.620559,1.791847,0.001622,0.0,0.902096,0.796825,0.789819,0.983203,0.937500,0.936384
14,33.454723,15.918774,1.682352,0.000712,0.0,35.242299,15.949238,1.770632,0.001587,0.0,34.980353,16.158634,1.726973,0.001552,0.0,0.908944,0.798258,0.798916,0.983594,0.937500,0.937500
15,32.692739,15.800734,1.621436,0.000678,0.0,34.818364,15.757015,1.748991,0.001571,0.0,34.559128,15.970429,1.704159,0.001547,0.0,0.913137,0.800084,0.800436,0.984375,0.937500,0.937500
16,31.814921,15.720986,1.546333,0.000631,0.0,33.669721,16.048589,1.608957,0.001532,0.0,33.483433,16.267141,1.569779,0.001519,0.0,0.919180,0.805747,0.804175,0.983594,0.937500,0.937500
17,31.245756,15.640743,1.500894,0.000596,0.0,34.085426,15.337163,1.724831,0.001500,0.0,33.739126,15.527518,1.672927,0.001482,0.0,0.923596,0.806578,0.807455,0.984375,0.937500,0.937500
18,30.614650,15.542361,1.449728,0.000575,0.0,32.905386,15.461024,1.595235,0.001492,0.0,32.633331,15.665147,1.549725,0.001471,0.0,0.926303,0.810705,0.811247,0.983984,0.937500,0.937500
19,30.039930,15.499550,1.399685,0.000544,0.0,32.379553,15.796923,1.510831,0.001474,0.0,32.183214,16.004464,1.471211,0.001467,0.0,0.930457,0.810444,0.810790,0.984375,0.937500,0.937500
20,29.468740,15.383868,1.355801,0.000527,0.0,32.096089,16.002516,1.459844,0.001495,0.0,31.905203,16.213010,1.422437,0.001468,0.0,0.932466,0.810099,0.811544,0.984375,0.937500,0.937500
