epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,147.625018,16.893547,12.155102,0.002415,6.765916,101.838830,18.042024,8.167516,0.000578,1.543245,104.952760,18.105195,8.165927,0.001511,3.677475,0.469181,0.475826,0.456879,0.046875,0.008929,0.010045
2,94.006721,17.769500,6.549994,0.003161,7.576581,80.700528,18.521864,5.183525,0.003202,7.141907,80.782706,18.699373,5.170198,0.003282,7.099761,0.554679,0.585666,0.579095,0.622266,0.933036,0.936384
3,71.154420,17.618498,4.384974,0.002658,7.028293,65.254205,16.943329,3.941692,0.002482,6.412110,65.245812,17.097561,3.931025,0.002549,6.289002,0.659077,0.676335,0.672537,0.983594,0.937500,0.937500
4,60.295138,17.503654,3.408018,0.002182,6.528949,57.049220,17.934277,3.074529,0.002204,6.165431,57.024940,18.079148,3.062923,0.002289,6.027759,0.720275,0.713686,0.706527,0.984375,0.937500,0.937500
5,53.911027,17.287650,2.856383,0.001881,6.178193,52.233070,17.034871,2.721405,0.002016,5.968426,52.212233,17.161561,2.718310,0.002085,5.782172,0.759347,0.737582,0.732466,0.984375,0.937500,0.937500
6,49.906144,17.066690,2.521062,0.001674,5.954560,48.756654,17.431909,2.368714,0.001923,5.715022,48.621957,17.550872,2.356738,0.001988,5.515223,0.785642,0.751074,0.745364,0.984375,0.937500,0.937500
7,47.049126,16.909326,2.285254,0.001523,5.764569,45.861453,16.838352,2.161282,0.001824,5.586073,45.679061,16.943113,2.146335,0.001866,5.406821,0.804967,0.763536,0.759659,0.984375,0.937500,0.937500
8,44.405009,16.766678,2.063814,0.001387,5.612869,44.049990,16.382598,2.050525,0.001742,5.420088,43.913416,16.493538,2.036148,0.001780,5.278019,0.822223,0.774082,0.770304,0.984375,0.937500,0.937500
9,42.047984,16.568948,1.869555,0.001280,5.503861,42.206506,16.798883,1.828326,0.001715,5.409422,42.049043,16.924128,1.813657,0.001738,5.250570,0.835961,0.777834,0.776009,0.984375,0.937500,0.937500
10,41.227722,16.433475,1.819028,0.001205,5.399064,40.943953,16.683758,1.720736,0.001654,5.399272,40.808162,16.805258,1.712574,0.001694,5.183488,0.845737,0.786893,0.782256,0.984375,0.937500,0.937500
11,39.131225,16.289889,1.639625,0.001114,5.330801,39.705377,16.237585,1.649622,0.001615,5.356301,39.545098,16.358741,1.640901,0.001629,5.148181,0.857534,0.791302,0.789831,0.984375,0.937500,0.937500
12,37.858276,16.126071,1.546144,0.001032,5.238682,38.764099,15.865885,1.615122,0.001540,5.207053,38.625062,15.989813,1.606607,0.001563,5.005770,0.867750,0.800917,0.798535,0.984375,0.937500,0.937500
13,36.941804,16.015788,1.478324,0.000966,5.176750,37.891049,16.087809,1.506394,0.001530,5.209518,37.781624,16.203067,1.500263,0.001562,5.014097,0.876151,0.802909,0.799097,0.984375,0.937500,0.937500
14,36.657888,15.935700,1.467101,0.000921,5.130651,38.105898,16.227556,1.517031,0.001522,5.185660,37.995852,16.351493,1.507824,0.001549,5.017087,0.881864,0.802595,0.800848,0.984375,0.937500,0.937500
15,35.464968,15.799365,1.374100,0.000868,5.056820,36.660717,15.793844,1.431874,0.001469,5.079264,36.537128,15.896683,1.424741,0.001494,4.898972,0.888915,0.810222,0.808666,0.984375,0.937500,0.937500
16,34.565783,15.679592,1.307646,0.000817,4.992273,35.957897,15.569204,1.389943,0.001431,5.058631,35.819985,15.664955,1.382994,0.001465,4.859824,0.895169,0.814031,0.812255,0.984375,0.937500,0.937500
17,33.876941,15.556006,1.259102,0.000776,4.954182,35.273625,15.856200,1.304710,0.001401,4.969464,35.174206,15.948664,1.300346,0.001432,4.790004,0.900621,0.817618,0.816857,0.984375,0.937500,0.937500
18,33.681730,15.497505,1.252109,0.000745,4.918242,35.677518,15.984556,1.317335,0.001443,5.076933,35.568731,16.068595,1.312745,0.001470,4.902335,0.904595,0.813570,0.812716,0.984375,0.937500,0.937500
19,32.988021,15.451013,1.195052,0.000714,4.872720,34.463281,15.454644,1.268197,0.001384,4.942763,34.338005,15.545355,1.263583,0.001409,4.747422,0.908641,0.820163,0.819351,0.984375,0.937500,0.937500
20,32.628043,15.339577,1.178918,0.000687,4.811999,34.136423,15.578595,1.230455,0.001351,4.902175,34.060089,15.664729,1.226139,0.001406,4.727648,0.912169,0.824287,0.820407,0.984375,0.937500,0.937500
