epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,146.709404,15.985646,11.632868,0.004108,10.286874,105.524174,17.791874,7.718659,0.003291,7.254663,105.356333,17.871636,7.636169,0.003544,7.578932,0.472937,0.573234,0.550952,1.000781,0.960938,0.960938
2,90.966173,16.680731,6.444861,0.002828,7.009153,78.440276,16.507690,5.316774,0.002564,6.201199,78.387886,16.664694,5.266058,0.002704,6.358790,0.637307,0.665251,0.652353,1.000781,0.960938,0.960938
3,71.881310,16.527785,4.724457,0.002105,6.003910,67.873999,15.550181,4.477405,0.002183,5.366436,67.559765,15.687765,4.417022,0.002211,5.491059,0.730227,0.717031,0.716965,1.000781,0.960938,0.960938
4,63.359188,16.253707,4.012170,0.001592,5.391548,61.085821,16.924126,3.714092,0.001968,5.052802,61.253121,17.100800,3.706260,0.001952,5.138136,0.796138,0.744500,0.748883,1.000781,0.960938,0.960938
5,57.543878,16.083771,3.512315,0.001278,5.059023,56.715054,16.636348,3.347728,0.001769,4.832150,56.822770,16.811528,3.337166,0.001731,4.908466,0.836169,0.770823,0.776450,1.000781,0.960938,0.960938
6,53.725756,15.957770,3.187026,0.001081,4.816396,53.569134,16.169380,3.104931,0.001664,4.686565,53.625559,16.350097,3.085642,0.001637,4.781831,0.861692,0.782582,0.789849,1.000781,0.960938,0.960938
7,50.346103,15.856485,2.890700,0.000955,4.627763,50.868169,15.864344,2.888222,0.001614,4.507976,50.781497,16.087249,2.851311,0.001587,4.594428,0.877555,0.789651,0.795308,1.000781,0.960938,0.960938
8,47.706118,15.746111,2.663717,0.000846,4.477052,48.021296,15.516679,2.651445,0.001555,4.435554,47.884249,15.717919,2.613408,0.001517,4.515553,0.891351,0.796514,0.804152,1.000781,0.960938,0.960938
9,45.264634,15.644041,2.452357,0.000763,4.334225,46.878138,15.238499,2.575195,0.001520,4.368019,46.699361,15.428525,2.536140,0.001484,4.425158,0.902281,0.801633,0.807934,1.000781,0.960938,0.960938
10,43.602475,15.605022,2.306832,0.000703,4.226322,44.225618,15.767439,2.274361,0.001471,4.243639,44.242734,15.962781,2.251388,0.001457,4.309373,0.910013,0.806081,0.811501,1.000781,0.960938,0.960938
11,41.759987,15.505922,2.149345,0.000647,4.113380,43.201495,16.008161,2.161323,0.001440,4.140033,43.318878,16.231951,2.143445,0.001434,4.218340,0.917076,0.810540,0.814285,1.000781,0.960938,0.960938
12,40.342800,15.433818,2.030381,0.000597,4.007932,42.284696,15.184324,2.157514,0.001403,4.122702,42.189953,15.393153,2.118389,0.001406,4.207222,0.923673,0.814770,0.817303,1.000781,0.960938,0.960938
13,39.209753,15.377793,1.935876,0.000555,3.918133,40.916042,15.841432,1.965812,0.001379,4.037887,40.956705,16.055474,1.941821,0.001387,4.095974,0.928925,0.818200,0.820507,1.000781,0.960938,0.960938
14,37.986467,15.306070,1.833126,0.000519,3.830521,40.222961,15.864934,1.901328,0.001345,3.999922,40.274141,16.074903,1.879110,0.001367,4.040701,0.933591,0.821554,0.822042,1.000781,0.960938,0.960938
15,37.028349,15.208221,1.756956,0.000493,3.757250,39.250544,15.547500,1.843479,0.001333,3.935212,39.305563,15.760470,1.817521,0.001346,4.023471,0.936817,0.823306,0.826078,1.000781,0.960938,0.960938
16,36.695889,15.151623,1.737774,0.000475,3.691320,38.600021,15.140867,1.824856,0.001308,3.902944,38.541257,15.334455,1.793244,0.001320,3.954024,0.939133,0.826682,0.828763,1.000781,0.960938,0.960938
17,35.731559,15.082125,1.659335,0.000444,3.611759,38.160528,15.040970,1.793573,0.001311,3.873119,38.138080,15.240693,1.760151,0.001325,3.970675,0.943142,0.826197,0.828004,1.000781,0.960938,0.960938
18,35.065197,15.033976,1.605651,0.000429,3.546127,37.593175,15.447978,1.703176,0.001299,3.814043,37.596623,15.663860,1.676918,0.001300,3.864018,0.945122,0.828842,0.831846,1.000781,0.960938,0.960938
19,34.315776,14.956357,1.548628,0.000399,3.473651,36.838724,15.011252,1.681650,0.001243,3.767800,36.801530,15.195563,1.648302,0.001291,3.832259,0.948862,0.835302,0.831982,1.000781,0.960938,0.960938
20,33.642259,14.867647,1.498530,0.000384,3.405761,36.534135,15.286546,1.621798,0.001282,3.747641,36.521001,15.483999,1.593020,0.001294,3.812735,0.950878,0.830892,0.832913,1.000781,0.960938,0.960938
