epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,109.024154,17.098542,9.192561,68.100975,17.838201,5.026277
2,55.327458,17.812243,3.751521,46.964548,17.917628,2.904692
3,42.405691,17.722604,2.468309,39.618833,17.715801,2.190303
4,37.011898,17.458870,1.955303,35.731800,17.767120,1.796468
5,33.208403,17.176500,1.603190,32.535511,17.014787,1.552072
6,31.414308,16.923671,1.449064,30.899173,16.925160,1.397401
7,29.601163,16.702823,1.289834,29.989286,16.550938,1.343835
8,28.281437,16.483860,1.179758,28.666974,16.624105,1.204287
9,27.395991,16.301297,1.109469,27.855312,16.289705,1.156561
10,26.431830,16.106629,1.032520,27.161621,16.144393,1.101723
11,25.839647,15.945373,0.989427,26.750932,15.920761,1.083017
12,25.076726,15.780161,0.929656,26.121440,15.974781,1.014666
13,24.731353,15.651008,0.908035,25.390497,15.759120,0.963138
14,24.280448,15.504025,0.877642,26.193288,16.022407,1.017088
15,23.770616,15.395376,0.837524,24.804441,15.332497,0.947194
16,23.210249,15.251877,0.795837,24.334467,15.549272,0.878520
17,22.775192,15.133934,0.764126,23.974719,15.237655,0.873706
18,22.729684,15.040432,0.768925,25.023562,14.815566,1.020800
19,22.312929,14.928907,0.738402,23.616080,15.206272,0.840981
20,21.956316,14.825720,0.713060,23.590457,15.056950,0.853351
