epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,135.926398,16.967824,11.881528,97.020161,17.621071,7.939909,0.001433,0.469616,0.000000,0.000000
2,81.742523,18.190109,6.330316,68.112436,18.423119,4.929316,0.002493,0.478095,0.003962,0.491990
3,59.497652,18.108146,4.100413,53.486372,17.462167,3.565107,0.003854,0.507955,0.003731,0.516101
4,48.817276,17.888985,3.055653,46.137235,17.196191,2.857937,0.003718,0.524908,0.003617,0.533521
5,42.959761,17.655487,2.494641,41.346573,17.802991,2.319111,0.003579,0.541998,0.003525,0.545978
6,39.583448,17.477959,2.175747,38.591220,17.498893,2.075208,0.003480,0.554170,0.003403,0.561674
7,37.264086,17.329182,1.959292,37.348052,17.034402,1.997809,0.003420,0.561826,0.003356,0.568832
8,35.071070,17.187633,1.754741,35.421580,16.686391,1.840328,0.003360,0.569967,0.003319,0.571385
9,33.442841,16.994098,1.611838,33.365060,17.108726,1.592786,0.003304,0.577195,0.003285,0.576156
10,32.038720,16.876523,1.483649,32.282946,16.590192,1.537032,0.003257,0.583249,0.003224,0.583514
11,31.519804,16.714986,1.448292,31.700579,16.904298,1.447535,0.003219,0.588414,0.003209,0.585612
12,30.023653,16.605119,1.310342,30.237786,16.780817,1.314217,0.003151,0.596100,0.003148,0.592666
13,29.237433,16.443686,1.248287,30.611388,16.112251,1.418673,0.003109,0.601514,0.003124,0.594730
14,28.561798,16.326439,1.192799,28.993543,16.597354,1.208855,0.003074,0.606759,0.003076,0.602726
15,27.889141,16.225228,1.136076,28.584569,16.593301,1.168623,0.003032,0.611892,0.003050,0.605649
