epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,25.257169,13.097550,12.159618,20.378931,11.721595,8.657336
2,17.911398,10.334200,7.577198,16.495286,9.989681,6.505606
3,14.990145,8.792788,6.197357,14.715082,8.551105,6.163977
4,13.425792,7.846718,5.579074,13.526951,8.039708,5.487244
5,12.385570,7.201306,5.184264,12.884251,7.680362,5.203889
6,11.669497,6.746800,4.922696,12.305863,7.354157,4.951706
7,11.149855,6.401036,4.748819,12.014012,7.277564,4.736448
8,10.747026,6.136388,4.610638,11.663757,7.016800,4.646957
9,10.367650,5.889760,4.477890,11.510869,7.219110,4.291759
10,10.103227,5.707728,4.395498,11.222407,6.723962,4.498445
