epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,143.163594,16.465222,12.084177,0.004378,14.790341,103.287221,17.574787,8.026461,0.004096,13.514797,103.279418,17.655824,7.993905,0.004285,13.999874,0.439216,0.466229,0.450713,1.000781,0.960938,0.960938
2,87.302699,17.570404,6.460195,0.003794,13.364878,72.645630,17.948605,5.028844,0.003216,11.927950,72.670758,18.065900,5.011049,0.003263,12.311373,0.513693,0.587632,0.581972,1.000781,0.960938,0.960938
3,64.602273,17.599937,4.303079,0.002786,11.857019,58.093129,17.698885,3.666416,0.002616,11.143147,58.191170,17.806441,3.641747,0.002813,11.538366,0.643051,0.663381,0.638739,1.000781,0.960938,0.960938
4,53.273566,17.384701,3.241266,0.002372,11.045822,49.698757,17.171063,2.914481,0.002356,10.266200,49.955404,17.311694,2.902888,0.002556,10.589428,0.696227,0.694814,0.670729,1.000781,0.960938,0.960938
5,47.081063,17.088050,2.689087,0.002076,10.260047,44.984589,17.260551,2.458048,0.002193,9.504987,45.199181,17.435005,2.447696,0.002308,9.788924,0.733995,0.715571,0.701248,1.000781,0.960938,0.960938
6,42.737218,16.910881,2.300478,0.001851,9.705839,42.293154,17.429722,2.186885,0.002080,9.145879,42.432372,17.596647,2.171825,0.002175,9.427176,0.763250,0.732547,0.719777,1.000781,0.960938,0.960938
7,41.046007,16.795850,2.161115,0.001701,9.378513,39.930462,17.202553,1.980627,0.002012,9.099554,40.092845,17.375048,1.969942,0.002082,9.364380,0.782302,0.742030,0.731734,1.000781,0.960938,0.960938
8,37.673800,16.630545,1.859852,0.001531,9.137344,37.589648,16.920303,1.789814,0.001904,8.667728,37.764547,17.071929,1.781688,0.001984,8.918692,0.803990,0.755303,0.744489,1.000781,0.960938,0.960938
9,36.560261,16.534484,1.772003,0.001418,8.873764,36.870142,16.526334,1.764498,0.001856,8.428190,37.031323,16.660566,1.757803,0.001927,8.657329,0.818204,0.761055,0.752209,1.000781,0.960938,0.960938
10,34.831600,16.427616,1.622460,0.001312,8.677023,34.987629,16.517803,1.583780,0.001793,8.385434,35.125525,16.647309,1.576458,0.001853,8.607479,0.831989,0.768734,0.761845,1.000781,0.960938,0.960938
11,33.228350,16.287602,1.488698,0.001207,8.465867,34.324929,16.111998,1.569031,0.001730,7.922053,34.433990,16.237691,1.557960,0.001802,8.147008,0.845673,0.775827,0.768803,1.000781,0.960938,0.960938
12,32.494767,16.186179,1.435562,0.001122,8.307412,34.739272,16.512617,1.567802,0.001723,8.258335,34.932478,16.649044,1.564251,0.001795,8.462018,0.856380,0.778528,0.769499,1.000781,0.960938,0.960938
13,32.038171,16.088615,1.406133,0.001069,8.188023,33.090570,15.662105,1.497882,0.001668,7.813071,33.204560,15.778123,1.489000,0.001735,8.017706,0.862936,0.784639,0.777339,1.000781,0.960938,0.960938
14,30.851200,15.935059,1.311275,0.000997,8.064032,31.773207,16.192550,1.318127,0.001627,7.720963,31.915438,16.310415,1.311526,0.001697,7.926939,0.872272,0.790090,0.781742,1.000781,0.960938,0.960938
15,29.988458,15.863979,1.239537,0.000935,7.944617,31.196677,15.919891,1.289354,0.001613,7.707275,31.330030,16.032342,1.283798,0.001671,7.891003,0.880398,0.792350,0.784707,1.000781,0.960938,0.960938
16,29.423344,15.753797,1.199796,0.000887,7.844984,31.568490,15.344339,1.387227,0.001622,7.294855,31.622577,15.450473,1.375571,0.001667,7.495821,0.886327,0.790048,0.785322,1.000781,0.960938,0.960938
17,29.331261,15.655491,1.203668,0.000860,7.787830,30.348162,15.809104,1.220710,0.001569,7.626858,30.462898,15.916454,1.214364,0.001622,7.803447,0.889876,0.797656,0.790917,1.000781,0.960938,0.960938
18,28.324787,15.549940,1.119776,0.000807,7.698751,29.899473,15.499642,1.213077,0.001530,7.391137,30.008272,15.599171,1.205606,0.001597,7.556154,0.896636,0.802426,0.793499,1.000781,0.960938,0.960938
19,28.220417,15.492392,1.118350,0.000781,7.635347,29.937723,15.449752,1.222304,0.001544,7.206254,29.996212,15.541661,1.213016,0.001587,7.375127,0.900169,0.800294,0.795256,1.000781,0.960938,0.960938
20,27.638549,15.386496,1.075370,0.000742,7.563554,29.145800,15.633463,1.127774,0.001507,7.278476,29.237461,15.722502,1.120617,0.001564,7.450975,0.905104,0.805888,0.798323,1.000781,0.960938,0.960938
