epoch,train_loss,train_content,train_style,train_identity,train_eye,val_loss,val_content,val_style,val_identity,val_eye,test_loss,test_content,test_style,test_identity,test_eye,train_similarity,val_similarity,test_similarity,train_detect_rate,val_detect_rate,test_detect_rate
1,221.433507,15.169147,12.586746,0.003815,7.658148,159.024375,14.837996,8.651162,0.003005,5.466930,159.930118,14.904871,8.643996,0.003093,5.549252,0.509712,0.613133,0.602322,1.000781,0.960938,0.960938
2,135.094557,15.754130,6.608184,0.002591,5.066758,113.724845,16.601881,4.914534,0.002317,4.566110,114.401455,16.689128,4.935916,0.002472,4.588097,0.667833,0.698980,0.685080,1.000781,0.960938,0.960938
3,104.577702,16.491178,4.291524,0.002099,4.307229,98.007759,16.772139,3.770383,0.002031,4.150083,98.674103,16.843340,3.794375,0.002174,4.171336,0.730937,0.736377,0.721617,1.000781,0.960938,0.960938
4,91.289996,16.432657,3.494367,0.001764,3.814918,90.555063,16.078891,3.367787,0.001858,3.894021,91.882633,16.153628,3.394326,0.002003,3.978288,0.774116,0.759941,0.743262,1.000781,0.960938,0.960938
5,83.304105,16.214658,3.103361,0.001525,3.453053,84.224662,16.536346,2.915780,0.001739,3.679149,85.125695,16.617020,2.939393,0.001863,3.725212,0.804529,0.775205,0.761859,1.000781,0.960938,0.960938
6,77.642853,16.100070,2.817605,0.001380,3.198653,80.125079,16.620426,2.649548,0.001645,3.536455,80.959706,16.716054,2.672609,0.001757,3.576025,0.823393,0.786225,0.774452,1.000781,0.960938,0.960938
7,72.456870,15.980743,2.557150,0.001253,2.965127,76.881692,16.961190,2.422725,0.001583,3.411019,77.499237,17.057576,2.433937,0.001703,3.439932,0.839416,0.793897,0.781420,1.000781,0.960938,0.960938
8,68.259870,15.881401,2.343617,0.001163,2.777922,73.672768,16.215580,2.290488,0.001560,3.299215,74.195023,16.305040,2.306604,0.001638,3.318619,0.851218,0.797340,0.788264,1.000781,0.960938,0.960938
9,65.282599,15.797756,2.217065,0.001088,2.622660,71.964824,15.226525,2.315697,0.001494,3.208733,72.487295,15.325270,2.321911,0.001582,3.236046,0.860720,0.805067,0.794208,1.000781,0.960938,0.960938
10,61.912989,15.703714,2.068458,0.001022,2.450307,68.945170,15.670466,2.085960,0.001464,3.095151,69.388098,15.778923,2.088554,0.001512,3.121155,0.869051,0.809224,0.803713,1.000781,0.960938,0.960938
11,59.083315,15.596674,1.944274,0.000964,2.307977,67.487743,16.331389,1.912353,0.001460,3.057259,67.633174,16.429878,1.919197,0.001504,3.050735,0.876549,0.809805,0.804321,1.000781,0.960938,0.960938
12,57.178529,15.546484,1.872259,0.000920,2.198922,66.145185,16.209216,1.859228,0.001421,2.992249,66.484555,16.303425,1.863330,0.001463,3.008495,0.882259,0.815207,0.810031,1.000781,0.960938,0.960938
13,55.709643,15.461029,1.813533,0.000886,2.122736,65.394151,15.764782,1.821656,0.001401,3.001220,65.186980,15.854217,1.822319,0.001439,2.967060,0.886701,0.818682,0.812187,1.000781,0.960938,0.960938
14,53.790556,15.374898,1.736069,0.000840,2.021477,65.038634,15.490665,1.816724,0.001358,3.002225,64.809690,15.590565,1.821216,0.001413,2.959374,0.892347,0.823380,0.815699,1.000781,0.960938,0.960938
15,51.957507,15.328384,1.665832,0.000802,1.916929,63.354394,15.327688,1.756035,0.001348,2.911791,63.147824,15.425311,1.758958,0.001400,2.873280,0.897419,0.824785,0.817118,1.000781,0.960938,0.960938
16,50.324443,15.231570,1.601261,0.000767,1.831355,62.201565,15.736950,1.635352,0.001332,2.877861,61.758690,15.844004,1.634399,0.001383,2.818817,0.901707,0.827023,0.819783,1.000781,0.960938,0.960938
17,49.525548,15.189276,1.578445,0.000741,1.781092,61.858521,15.576265,1.644801,0.001308,2.852651,61.580995,15.681653,1.647344,0.001364,2.806238,0.905128,0.829714,0.822430,1.000781,0.960938,0.960938
18,48.486705,15.105009,1.543451,0.000717,1.722997,61.351219,15.475323,1.623361,0.001319,2.832326,60.836808,15.579700,1.619341,0.001363,2.770072,0.908099,0.828598,0.821580,1.000781,0.960938,0.960938
19,47.486940,15.089726,1.499266,0.000694,1.671061,60.661682,14.962291,1.626535,0.001289,2.814503,60.331792,15.068232,1.624481,0.001335,2.768402,0.911289,0.832370,0.825714,1.000781,0.960938,0.960938
20,46.792040,14.999826,1.492718,0.000670,1.619516,60.782807,15.478380,1.577052,0.001284,2.825031,60.166240,15.580874,1.569062,0.001337,2.755816,0.914194,0.833503,0.825326,1.000781,0.960938,0.960938
