epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity,train_eye,val_eye
1,218.839872,15.821611,15.234889,145.220506,16.793340,12.842717,0.000185,0.527097,0.000000,0.000000,0.504846,0.000000
2,623.711821,15.060993,14.853819,889.641911,19.729357,14.208882,0.002199,0.444888,0.003582,0.537045,4.579139,7.242422
3,825.100369,15.677414,12.941786,754.088026,16.632961,12.564510,0.003196,0.591746,0.003190,0.580453,6.768088,6.086197
4,760.330818,18.177337,10.745186,778.590001,19.772970,9.264316,0.003345,0.572651,0.003557,0.543481,6.313566,6.626166
5,827.189923,19.629519,8.525425,846.220939,21.040665,7.735597,0.003779,0.517070,0.003717,0.519543,7.185276,7.441072
6,842.458032,20.184095,7.821553,791.518969,20.221725,7.254351,0.003850,0.517708,0.003675,0.524779,7.402085,6.950788
7,821.262724,19.876189,7.055928,690.543008,19.638043,6.451500,0.003708,0.532116,0.002939,0.615251,7.271194,6.034512
8,678.268242,19.462006,6.009867,708.891039,20.883400,5.752877,0.002760,0.647824,0.003172,0.587661,5.959476,6.273066
9,795.746284,20.672518,5.582499,790.380371,20.486533,5.455807,0.003706,0.526868,0.003854,0.497461,7.155423,7.114813
10,859.903616,20.359909,6.613690,810.878571,19.953464,6.771161,0.003880,0.503245,0.003616,0.531279,7.695265,7.195977
11,916.357539,19.639281,7.437452,748.957815,17.282840,10.142701,0.004150,0.482146,0.003574,0.465553,8.181937,6.266742
12,805.698938,18.381786,8.495848,683.921609,19.912038,6.029885,0.003289,0.605820,0.002888,0.620981,6.990696,6.008230
13,776.492415,20.696251,5.634259,745.044669,21.572516,5.357048,0.003506,0.553781,0.003205,0.582687,6.959473,6.666965
14,754.875507,20.762248,5.134674,773.260476,20.135509,5.114697,0.003378,0.570761,0.003469,0.518390,6.793887,6.985086
15,854.113622,20.352975,5.413609,880.709374,21.814312,6.446576,0.003821,0.513447,0.003800,0.467074,7.758032,7.906293
