epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,145.617708,16.885236,12.148468,114.882481,17.731100,8.553933,0.000725,0.462883,0.001161,0.479780
2,108.591445,17.765446,7.457413,113.538230,18.028349,6.469667,0.001625,0.569889,0.003081,0.606431
3,95.255138,17.738051,5.567137,87.203586,17.874864,4.717381,0.002185,0.719189,0.002215,0.714876
4,73.489471,17.678211,4.195616,76.134169,17.560793,3.867088,0.001386,0.822471,0.001990,0.744267
5,62.445375,17.582158,3.486957,68.849774,17.605952,3.244633,0.000999,0.871837,0.001880,0.758703
6,55.529153,17.484629,3.027732,64.142619,17.903418,2.847002,0.000777,0.900507,0.001777,0.769998
7,50.726778,17.408247,2.680902,60.218431,17.955691,2.539036,0.000651,0.916555,0.001687,0.782491
8,47.461624,17.311248,2.450279,58.106420,17.105086,2.424088,0.000565,0.927749,0.001676,0.783370
9,44.139806,17.224621,2.210145,55.360444,17.432286,2.146933,0.000481,0.938406,0.001646,0.788637
10,41.817286,17.158345,2.041409,53.720548,16.937345,2.092329,0.000424,0.945764,0.001586,0.795927
11,40.292217,17.052013,1.930984,52.480764,17.219562,1.920158,0.000393,0.949837,0.001606,0.792493
12,38.859435,16.988807,1.825608,51.276917,17.426711,1.785181,0.000361,0.953706,0.001600,0.794405
13,37.167135,16.867767,1.703653,50.635372,17.240285,1.709033,0.000326,0.958165,0.001630,0.790636
14,36.033096,16.787820,1.620980,49.440258,17.319850,1.627064,0.000304,0.961095,0.001585,0.797245
15,35.259148,16.734123,1.565437,48.302848,16.777431,1.602686,0.000287,0.963277,0.001550,0.801588
