epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,178.786841,16.715409,16.207143,107.350347,17.840584,8.950976
2,87.071572,18.417889,6.865368,71.716767,19.447688,5.226908
3,63.680890,18.425792,4.525510,56.840736,18.302429,3.853831
4,52.883396,18.404618,3.447878,49.119457,18.255449,3.086401
5,46.576389,18.281187,2.829520,46.189204,17.642722,2.854648
6,43.588075,18.101657,2.548642,40.588382,18.263306,2.232508
7,39.694720,17.988240,2.170648,39.257348,17.556289,2.170106
8,36.537301,17.806130,1.873117,35.294068,17.687497,1.760657
9,33.925017,17.637590,1.628743,33.583907,17.990405,1.559350
10,33.874118,17.513921,1.636020,38.297681,17.899745,2.039794
