epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,111.509729,17.551082,9.395798,69.032008,17.501815,5.152807,0.000666,0.497766,0.002122,0.504116
2,56.508168,18.273313,3.823103,48.497853,18.782398,2.971163,0.003829,0.509690,0.003825,0.512867
3,43.926555,17.999526,2.592320,40.592442,17.887036,2.270178,0.003831,0.510560,0.003625,0.530916
4,37.615741,17.707853,1.990418,36.608009,17.530992,1.907352,0.003708,0.525643,0.003498,0.548223
5,34.309854,17.475208,1.683103,33.256006,17.344482,1.590807,0.003614,0.538182,0.003454,0.555388
6,31.673702,17.199453,1.447070,31.512747,17.570047,1.393932,0.003552,0.545202,0.003378,0.565188
7,30.085195,16.985612,1.309608,30.325488,17.204617,1.311752,0.003506,0.550798,0.003349,0.568582
8,28.744970,16.772980,1.196852,28.971210,16.456650,1.251124,0.003471,0.556003,0.003318,0.571666
9,27.836090,16.567932,1.126472,28.235483,16.728508,1.150368,0.003437,0.560112,0.003293,0.575518
10,26.720617,16.389915,1.032729,27.457204,16.243141,1.121079,0.003415,0.563085,0.003271,0.579319
11,26.142364,16.204945,0.993404,26.537328,16.270624,1.026346,0.003380,0.567370,0.003248,0.582579
12,25.399123,16.043333,0.935244,26.197787,16.038361,1.015623,0.003352,0.571001,0.003199,0.589256
13,24.839303,15.874249,0.896173,26.039252,16.169624,0.986640,0.003322,0.574603,0.003224,0.585379
14,24.295577,15.727388,0.856488,25.262183,15.860907,0.939808,0.003309,0.576512,0.003194,0.589334
15,23.756107,15.580661,0.817216,25.491553,15.887689,0.960064,0.003289,0.579019,0.003222,0.586697
16,23.467003,15.448799,0.801493,25.032861,15.990525,0.903915,0.003272,0.581181,0.003190,0.590579
17,23.152282,15.334848,0.781418,24.311669,15.618205,0.869029,0.003257,0.583050,0.003172,0.592449
18,22.724940,15.215462,0.750624,23.951715,15.319144,0.862945,0.003242,0.584913,0.003117,0.598930
19,22.398041,15.095620,0.729920,23.710875,15.471508,0.823626,0.003217,0.588165,0.003105,0.600843
20,22.072781,14.983102,0.708647,23.630190,14.938956,0.868814,0.003204,0.589769,0.003098,0.601812
