epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,13112.778015,311.779348,1280.099891,221.087102,14.571737,20.651537
2,222.331857,14.472855,20.785900,220.868856,14.545324,20.632353
3,221.267731,14.467783,20.679995,220.839396,14.564419,20.627498
4,221.369250,14.475825,20.689342,220.927749,14.528152,20.639960
5,221.321568,14.476070,20.684550,220.811498,14.566730,20.624477
6,221.423042,14.470885,20.695216,220.826218,14.556527,20.626969
7,221.898561,14.480035,20.741853,220.869865,14.590185,20.627968
8,221.974684,14.484301,20.749038,220.843290,14.566245,20.627704
9,222.096258,14.474512,20.762175,220.812114,14.568838,20.624328
10,221.786747,14.465417,20.732133,220.846840,14.551587,20.629525
