epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,209.905004,14.103272,19.580173,153.668959,15.534660,13.813430
2,131.102333,16.686746,11.441559,115.698040,17.194132,9.850391
3,107.587912,17.424128,9.016378,100.653546,17.823776,8.282977
4,95.335595,17.908460,7.742714,90.476644,18.099159,7.237748
5,86.309180,18.238617,6.807056,82.681431,18.253611,6.442782
6,79.302645,18.393042,6.090960,76.529119,18.606772,5.792235
7,73.906380,18.437911,5.546847,71.488582,18.518605,5.296998
8,69.326784,18.375850,5.095093,67.482775,18.195631,4.928714
9,65.606576,18.332733,4.727384,64.044618,18.483158,4.556146
10,62.254002,18.253774,4.400023,61.100531,18.137853,4.296268
