epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,612.901763,17.370861,11.910618,403.731356,19.385146,7.686924
2,325.243308,19.719726,6.110472,263.586626,21.645191,4.838829
3,216.263663,20.366410,3.917945,191.617270,20.799462,3.416356
4,172.859151,20.647514,3.044233,165.509089,21.112945,2.887923
5,147.770731,20.836840,2.538678,137.299341,20.741346,2.331160
6,127.815243,20.981531,2.136674,122.776963,20.601420,2.043511
7,119.784712,21.083773,1.974019,112.565653,20.970948,1.831894
8,105.953895,21.175932,1.695559,103.776740,20.824983,1.659035
9,100.187288,21.209175,1.579562,107.178938,21.629674,1.710985
10,93.378109,21.244051,1.442681,91.682121,21.215979,1.409323
